Datetime,Key,Number,Action,Time,Mistakes
2023-11-08 00:11:49.413,N/A,N/A,start,N/A,N/A
2023-11-08 00:11:50.812,k,1,pressed,84,0
2023-11-08 00:11:50.929,k,1,released,91,0
2023-11-08 00:11:51.745,j,26,pressed,140,0
2023-11-08 00:11:51.862,j,26,released,147,1
2023-11-08 00:11:52.096,h,2,pressed,161,1
2023-11-08 00:11:52.295,h,2,released,173,1
2023-11-08 00:11:52.462,c,3,pressed,183,1
2023-11-08 00:11:52.695,c,3,released,197,1
2023-11-08 00:11:52.928,t,4,pressed,211,1
2023-11-08 00:11:53.145,t,4,released,224,1
2023-11-08 00:11:53.445,i,23,pressed,242,1
2023-11-08 00:11:53.678,i,23,released,256,2
2023-11-08 00:11:53.862,u,5,pressed,267,2
2023-11-08 00:11:54.061,u,5,released,279,2
2023-11-08 00:11:54.096,f,6,pressed,281,2
2023-11-08 00:11:54.295,f,6,released,293,2
2023-11-08 00:11:54.861,m,14,pressed,327,2
2023-11-08 00:11:55.078,m,14,released,340,3
2023-11-08 00:11:55.345,n,7,pressed,356,3
2023-11-08 00:11:55.528,n,7,released,367,3
2023-11-08 00:11:55.812,w,8,pressed,384,3
2023-11-08 00:11:56.045,w,8,released,398,3
2023-11-08 00:11:56.128,q,9,pressed,403,3
2023-11-08 00:11:56.361,q,9,released,417,3
2023-11-08 00:11:56.944,y,10,pressed,452,3
2023-11-08 00:11:56.945,l,21,pressed,452,3
2023-11-08 00:11:57.061,l,21,released,459,4
2023-11-08 00:11:57.178,y,10,released,466,4
2023-11-08 00:11:58.844,n,7,pressed,566,4
2023-11-08 00:11:59.028,n,7,released,577,5
2023-11-08 00:11:59.378,b,11,pressed,598,5
2023-11-08 00:11:59.544,b,11,released,608,5
2023-11-08 00:12:00.644,i,23,pressed,674,5
2023-11-08 00:12:00.827,i,23,released,685,6
2023-11-08 00:12:01.110,o,12,pressed,702,6
2023-11-08 00:12:01.294,o,12,released,713,6
2023-11-08 00:12:01.611,r,13,pressed,732,6
2023-11-08 00:12:01.811,r,13,released,744,6
2023-11-08 00:12:03.144,m,14,pressed,824,6
2023-11-08 00:12:03.327,m,14,released,835,6
2023-11-08 00:12:03.527,z,15,pressed,847,6
2023-11-08 00:12:03.727,z,15,released,859,6
2023-11-08 00:12:04.010,a,16,pressed,876,6
2023-11-08 00:12:04.193,a,16,released,887,6
2023-11-08 00:12:04.527,v,17,pressed,907,6
2023-11-08 00:12:04.793,v,17,released,923,6
2023-11-08 00:12:05.860,s,18,pressed,987,6
2023-11-08 00:12:06.060,s,18,released,999,6
2023-11-08 00:12:06.943,x,19,pressed,1052,6
2023-11-08 00:12:07.110,x,19,released,1062,6
2023-11-08 00:12:07.426,d,20,pressed,1081,6
2023-11-08 00:12:07.627,d,20,released,1093,6
2023-11-08 00:12:07.893,l,21,pressed,1109,6
2023-11-08 00:12:08.060,l,21,released,1119,6
2023-11-08 00:12:08.526,p,22,pressed,1147,6
2023-11-08 00:12:08.726,p,22,released,1159,6
2023-11-08 00:12:09.426,u,5,pressed,1201,6
2023-11-08 00:12:09.610,u,5,released,1212,7
2023-11-08 00:12:10.026,i,23,pressed,1237,7
2023-11-08 00:12:10.243,i,23,released,1250,7
2023-11-08 00:12:10.476,e,24,pressed,1264,7
2023-11-08 00:12:10.693,e,24,released,1277,7
2023-11-08 00:12:10.943,g,25,pressed,1292,7
2023-11-08 00:12:11.159,g,25,released,1305,7
2023-11-08 00:12:11.376,h,2,pressed,1318,7
2023-11-08 00:12:11.592,h,2,released,1331,8
2023-11-08 00:12:11.926,j,26,pressed,1351,8
2023-11-08 00:12:11.943,N/A,N/A,end,N/A,N/A
2023-11-08 00:13:33.480,N/A,N/A,start,N/A,N/A
2023-11-08 00:13:34.244,d,19,pressed,44,0
2023-11-08 00:13:34.397,d,19,released,53,1
2023-11-08 00:13:34.830,f,1,pressed,79,1
2023-11-08 00:13:35.047,f,1,released,92,1
2023-11-08 00:13:35.081,s,2,pressed,94,1
2023-11-08 00:13:35.314,s,2,released,108,1
2023-11-08 00:13:35.614,v,3,pressed,126,1
2023-11-08 00:13:35.814,v,3,released,138,1
2023-11-08 00:13:36.080,j,4,pressed,154,1
2023-11-08 00:13:36.264,j,4,released,165,1
2023-11-08 00:13:36.783,q,6,pressed,196,1
2023-11-08 00:13:37.033,q,6,released,211,2
2023-11-08 00:13:37.533,j,4,pressed,241,2
2023-11-08 00:13:37.700,j,4,released,251,3
2023-11-08 00:13:37.883,h,5,pressed,262,3
2023-11-08 00:13:38.099,q,6,pressed,275,3
2023-11-08 00:13:38.100,h,5,released,275,3
2023-11-08 00:13:38.283,q,6,released,286,3
2023-11-08 00:13:38.450,t,7,pressed,296,3
2023-11-08 00:13:38.516,r,22,pressed,300,3
2023-11-08 00:13:38.599,r,22,released,305,4
2023-11-08 00:13:38.650,t,7,released,308,4
2023-11-08 00:13:39.216,l,8,pressed,342,4
2023-11-08 00:13:39.433,l,8,released,355,4
2023-11-08 00:13:39.699,o,9,pressed,371,4
2023-11-08 00:13:39.899,o,9,released,383,4
2023-11-08 00:13:42.266,n,10,pressed,525,4
2023-11-08 00:13:42.432,n,10,released,535,4
2023-11-08 00:13:42.732,b,11,pressed,553,4
2023-11-08 00:13:42.932,b,11,released,565,4
2023-11-08 00:13:44.882,w,20,pressed,682,4
2023-11-08 00:13:45.016,w,20,released,690,5
2023-11-08 00:13:45.616,e,12,pressed,726,5
2023-11-08 00:13:45.832,e,12,released,739,5
2023-11-08 00:13:46.382,p,13,pressed,772,5
2023-11-08 00:13:46.598,p,13,released,785,5
2023-11-08 00:13:49.631,a,15,pressed,967,5
2023-11-08 00:13:49.765,a,15,released,975,6
2023-11-08 00:13:51.315,c,14,pressed,1068,6
2023-11-08 00:13:51.465,c,14,released,1077,6
2023-11-08 00:13:51.715,a,15,pressed,1092,6
2023-11-08 00:13:51.848,a,15,released,1100,6
2023-11-08 00:13:52.631,k,16,pressed,1147,6
2023-11-08 00:13:52.831,k,16,released,1159,6
2023-11-08 00:13:53.597,x,17,pressed,1205,6
2023-11-08 00:13:53.781,x,17,released,1216,6
2023-11-08 00:13:54.464,m,18,pressed,1257,6
2023-11-08 00:13:54.647,m,18,released,1268,6
2023-11-08 00:13:55.348,d,19,pressed,1310,6
2023-11-08 00:13:55.530,d,19,released,1321,6
2023-11-08 00:13:56.114,w,20,pressed,1356,6
2023-11-08 00:13:56.280,w,20,released,1366,6
2023-11-08 00:13:57.280,i,21,pressed,1426,6
2023-11-08 00:13:57.413,i,21,released,1434,6
2023-11-08 00:13:57.830,r,22,pressed,1459,6
2023-11-08 00:13:58.064,r,22,released,1473,6
2023-11-08 00:13:58.447,t,7,pressed,1496,6
2023-11-08 00:13:58.630,t,7,released,1507,7
2023-11-08 00:13:59.330,y,23,pressed,1549,7
2023-11-08 00:13:59.530,y,23,released,1561,7
2023-11-08 00:13:59.680,z,24,pressed,1570,7
2023-11-08 00:13:59.863,z,24,released,1581,7
2023-11-08 00:14:00.180,i,21,pressed,1600,7
2023-11-08 00:14:00.363,i,21,released,1611,8
2023-11-08 00:14:00.613,u,25,pressed,1626,8
2023-11-08 00:14:00.780,u,25,released,1636,8
2023-11-08 00:14:00.863,g,26,pressed,1641,8
2023-11-08 00:14:00.880,N/A,N/A,end,N/A,N/A
2023-11-08 00:14:38.357,N/A,N/A,start,N/A,N/A
2023-11-08 00:14:39.342,g,1,pressed,58,0
2023-11-08 00:14:39.540,g,1,released,70,0
2023-11-08 00:14:40.690,p,2,pressed,139,0
2023-11-08 00:14:40.890,p,2,released,151,0
2023-11-08 00:14:41.140,x,3,pressed,166,0
2023-11-08 00:14:41.307,x,3,released,176,0
2023-11-08 00:14:41.590,s,20,pressed,193,0
2023-11-08 00:14:41.790,s,20,released,205,1
2023-11-08 00:14:42.240,d,4,pressed,232,1
2023-11-08 00:14:42.473,d,4,released,246,1
2023-11-08 00:14:42.756,i,5,pressed,263,1
2023-11-08 00:14:42.940,i,5,released,274,1
2023-11-08 00:14:43.623,t,6,pressed,315,1
2023-11-08 00:14:43.823,t,6,released,327,1
2023-11-08 00:14:44.156,m,7,pressed,347,1
2023-11-08 00:14:44.373,m,7,released,360,1
2023-11-08 00:14:44.640,v,12,pressed,376,1
2023-11-08 00:14:44.706,v,12,released,380,2
2023-11-08 00:14:45.023,b,8,pressed,399,2
2023-11-08 00:14:45.173,b,8,released,408,2
2023-11-08 00:14:45.456,j,9,pressed,425,2
2023-11-08 00:14:45.656,j,9,released,437,2
2023-11-08 00:14:46.056,k,10,pressed,461,2
2023-11-08 00:14:46.223,k,10,released,471,2
2023-11-08 00:14:47.373,t,6,pressed,540,2
2023-11-08 00:14:47.556,t,6,released,551,3
2023-11-08 00:14:47.756,y,11,pressed,563,3
2023-11-08 00:14:47.922,y,11,released,573,3
2023-11-08 00:14:48.256,c,25,pressed,593,3
2023-11-08 00:14:48.472,c,25,released,606,4
2023-11-08 00:14:48.805,v,12,pressed,626,4
2023-11-08 00:14:49.006,v,12,released,638,4
2023-11-08 00:14:49.355,e,13,pressed,659,4
2023-11-08 00:14:49.639,e,13,released,676,4
2023-11-08 00:14:51.139,n,14,pressed,766,4
2023-11-08 00:14:51.322,n,14,released,777,4
2023-11-08 00:14:51.538,h,15,pressed,790,4
2023-11-08 00:14:51.772,h,15,released,804,4
2023-11-08 00:14:52.138,l,16,pressed,826,4
2023-11-08 00:14:52.439,l,16,released,844,4
2023-11-08 00:14:53.222,a,17,pressed,891,4
2023-11-08 00:14:53.405,a,17,released,902,4
2023-11-08 00:14:53.722,q,18,pressed,921,4
2023-11-08 00:14:53.955,q,18,released,935,4
2023-11-08 00:14:54.105,t,6,pressed,944,4
2023-11-08 00:14:54.138,r,19,pressed,946,5
2023-11-08 00:14:54.206,t,6,released,950,5
2023-11-08 00:14:54.255,r,19,released,953,5
2023-11-08 00:14:55.222,s,20,pressed,1011,5
2023-11-08 00:14:55.421,s,20,released,1023,5
2023-11-08 00:14:55.905,o,21,pressed,1052,5
2023-11-08 00:14:56.121,o,21,released,1065,5
2023-11-08 00:14:56.321,w,22,pressed,1077,5
2023-11-08 00:14:56.538,w,22,released,1090,5
2023-11-08 00:14:57.187,u,23,pressed,1129,5
2023-11-08 00:14:57.405,u,23,released,1142,5
2023-11-08 00:14:57.721,z,24,pressed,1161,5
2023-11-08 00:14:58.004,z,24,released,1178,5
2023-11-08 00:14:58.437,c,25,pressed,1204,5
2023-11-08 00:14:58.637,c,25,released,1216,5
2023-11-08 00:14:58.770,g,1,pressed,1224,5
2023-11-08 00:14:58.837,f,26,pressed,1228,6
2023-11-08 00:14:58.854,g,1,released,1229,6
2023-11-08 00:15:03.837,N/A,N/A,start,N/A,N/A
2023-11-08 00:15:04.471,q,1,pressed,38,0
2023-11-08 00:15:04.653,q,1,released,49,0
2023-11-08 00:15:04.937,r,2,pressed,66,0
2023-11-08 00:15:05.136,r,2,released,78,0
2023-11-08 00:15:05.453,c,3,pressed,97,0
2023-11-08 00:15:05.703,c,3,released,112,0
2023-11-08 00:15:06.119,o,4,pressed,137,0
2023-11-08 00:15:06.303,o,4,released,148,0
2023-11-08 00:15:06.570,d,5,pressed,164,0
2023-11-08 00:15:06.770,d,5,released,176,0
2023-11-08 00:15:07.603,u,19,pressed,226,0
2023-11-08 00:15:07.820,u,19,released,239,1
2023-11-08 00:15:08.236,i,6,pressed,264,1
2023-11-08 00:15:08.452,i,6,released,277,1
2023-11-08 00:15:08.620,f,8,pressed,287,1
2023-11-08 00:15:08.819,f,8,released,299,2
2023-11-08 00:15:09.252,g,7,pressed,325,2
2023-11-08 00:15:09.436,g,7,released,336,2
2023-11-08 00:15:09.519,f,8,pressed,341,2
2023-11-08 00:15:09.702,f,8,released,352,2
2023-11-08 00:15:09.919,k,9,pressed,365,2
2023-11-08 00:15:10.069,k,9,released,374,2
2023-11-08 00:15:11.285,x,10,pressed,447,2
2023-11-08 00:15:11.503,x,10,released,460,2
2023-11-08 00:15:12.069,h,11,pressed,494,2
2023-11-08 00:15:12.269,h,11,released,506,2
2023-11-08 00:15:14.735,m,12,pressed,654,2
2023-11-08 00:15:14.936,m,12,released,666,2
2023-11-08 00:15:15.636,w,13,pressed,708,2
2023-11-08 00:15:15.818,w,13,released,719,2
2023-11-08 00:15:16.018,l,14,pressed,731,2
2023-11-08 00:15:16.235,l,14,released,744,2
2023-11-08 00:15:16.419,j,15,pressed,755,2
2023-11-08 00:15:16.618,j,15,released,767,2
2023-11-08 00:15:17.801,p,16,pressed,838,2
2023-11-08 00:15:18.001,p,16,released,850,2
2023-11-08 00:15:18.885,n,17,pressed,903,2
2023-11-08 00:15:19.084,n,17,released,915,2
2023-11-08 00:15:19.334,b,18,pressed,930,2
2023-11-08 00:15:19.518,b,18,released,941,2
2023-11-08 00:15:20.185,u,19,pressed,981,2
2023-11-08 00:15:20.368,u,19,released,992,2
2023-11-08 00:15:21.701,y,21,pressed,1072,2
2023-11-08 00:15:21.817,y,21,released,1079,3
2023-11-08 00:15:22.134,t,20,pressed,1098,3
2023-11-08 00:15:22.317,t,20,released,1109,3
2023-11-08 00:15:22.534,y,21,pressed,1122,3
2023-11-08 00:15:22.768,y,21,released,1136,3
2023-11-08 00:15:22.900,s,22,pressed,1144,3
2023-11-08 00:15:23.135,s,22,released,1158,3
2023-11-08 00:15:23.301,a,23,pressed,1168,3
2023-11-08 00:15:23.468,a,23,released,1178,3
2023-11-08 00:15:23.651,z,24,pressed,1189,3
2023-11-08 00:15:23.834,z,24,released,1200,3
2023-11-08 00:15:24.034,b,18,pressed,1212,3
2023-11-08 00:15:24.201,b,18,released,1222,4
2023-11-08 00:15:24.434,v,25,pressed,1236,4
2023-11-08 00:15:24.600,v,25,released,1246,4
2023-11-08 00:15:24.684,e,26,pressed,1251,4
2023-11-08 00:15:24.701,N/A,N/A,end,N/A,N/A
2023-11-08 00:15:29.734,N/A,N/A,start,N/A,N/A
2023-11-08 00:15:30.750,u,1,pressed,61,0
2023-11-08 00:15:30.933,u,1,released,72,0
2023-11-08 00:15:31.200,s,2,pressed,88,0
2023-11-08 00:15:31.383,s,2,released,99,0
2023-11-08 00:15:31.599,a,3,pressed,112,0
2023-11-08 00:15:31.749,a,3,released,121,0
2023-11-08 00:15:31.949,q,4,pressed,133,0
2023-11-08 00:15:32.149,q,4,released,145,0
2023-11-08 00:15:32.466,h,5,pressed,164,0
2023-11-08 00:15:32.649,h,5,released,175,0
2023-11-08 00:15:33.082,k,6,pressed,201,0
2023-11-08 00:15:33.249,k,6,released,211,0
2023-11-08 00:15:33.766,o,7,pressed,242,0
2023-11-08 00:15:33.950,o,7,released,253,0
2023-11-08 00:15:34.066,j,8,pressed,260,0
2023-11-08 00:15:34.266,j,8,released,272,0
2023-11-08 00:15:34.482,b,9,pressed,285,0
2023-11-08 00:15:34.683,b,9,released,297,0
2023-11-08 00:15:35.149,t,10,pressed,325,0
2023-11-08 00:15:35.349,t,10,released,337,0
2023-11-08 00:15:36.966,p,11,pressed,434,0
2023-11-08 00:15:37.149,p,11,released,445,0
2023-11-08 00:15:39.149,c,12,pressed,565,0
2023-11-08 00:15:39.316,c,12,released,575,0
2023-11-08 00:15:39.599,l,13,pressed,592,0
2023-11-08 00:15:39.765,l,13,released,602,0
2023-11-08 00:15:41.232,m,14,pressed,690,0
2023-11-08 00:15:41.433,m,14,released,702,0
2023-11-08 00:15:41.815,z,15,pressed,725,0
2023-11-08 00:15:42.032,z,15,released,738,0
2023-11-08 00:15:42.349,x,16,pressed,757,0
2023-11-08 00:15:42.516,x,16,released,767,0
2023-11-08 00:15:43.315,w,17,pressed,815,0
2023-11-08 00:15:43.515,w,17,released,827,0
2023-11-08 00:15:44.081,g,18,pressed,861,0
2023-11-08 00:15:44.248,g,18,released,871,0
2023-11-08 00:15:44.732,r,19,pressed,900,0
2023-11-08 00:15:44.798,r,19,released,904,0
2023-11-08 00:15:45.532,c,12,pressed,948,0
2023-11-08 00:15:45.748,c,12,released,961,1
2023-11-08 00:15:46.131,v,20,pressed,984,1
2023-11-08 00:15:46.298,v,20,released,994,1
2023-11-08 00:15:46.414,s,2,pressed,1001,1
2023-11-08 00:15:46.598,s,2,released,1012,2
2023-11-08 00:15:46.949,d,21,pressed,1033,2
2023-11-08 00:15:47.115,d,21,released,1043,2
2023-11-08 00:15:47.248,e,22,pressed,1051,2
2023-11-08 00:15:47.431,e,22,released,1062,2
2023-11-08 00:15:48.281,n,23,pressed,1113,2
2023-11-08 00:15:48.431,n,23,released,1122,2
2023-11-08 00:15:48.764,u,1,pressed,1142,2
2023-11-08 00:15:48.898,u,1,released,1150,3
2023-11-08 00:15:49.064,y,24,pressed,1160,3
2023-11-08 00:15:49.266,y,24,released,1172,3
2023-11-08 00:15:49.548,i,25,pressed,1189,3
2023-11-08 00:15:49.781,i,25,released,1203,3
2023-11-08 00:15:49.864,d,21,pressed,1208,3
2023-11-08 00:15:50.064,d,21,released,1220,4
2023-11-08 00:15:50.314,f,26,pressed,1235,4
2023-11-08 00:15:50.331,N/A,N/A,end,N/A,N/A
2023-11-08 00:15:55.364,N/A,N/A,start,N/A,N/A
2023-11-08 00:15:56.447,i,11,pressed,65,0
2023-11-08 00:15:56.613,i,11,released,75,1
2023-11-08 00:15:57.063,u,1,pressed,102,1
2023-11-08 00:15:57.230,u,1,released,112,1
2023-11-08 00:15:57.363,n,2,pressed,120,1
2023-11-08 00:15:57.613,n,2,released,135,1
2023-11-08 00:15:58.213,c,3,pressed,171,1
2023-11-08 00:15:58.380,c,3,released,181,1
2023-11-08 00:15:58.796,b,4,pressed,206,1
2023-11-08 00:15:58.946,b,4,released,215,1
2023-11-08 00:15:59.546,w,5,pressed,251,1
2023-11-08 00:15:59.763,w,5,released,264,1
2023-11-08 00:16:00.213,h,6,pressed,291,1
2023-11-08 00:16:00.396,h,6,released,302,1
2023-11-08 00:16:01.296,x,7,pressed,356,1
2023-11-08 00:16:01.462,x,7,released,366,1
2023-11-08 00:16:01.729,s,8,pressed,382,1
2023-11-08 00:16:01.929,s,8,released,394,1
2023-11-08 00:16:02.079,d,9,pressed,403,1
2023-11-08 00:16:02.263,d,9,released,414,1
2023-11-08 00:16:03.546,z,10,pressed,491,1
2023-11-08 00:16:03.762,z,10,released,504,1
2023-11-08 00:16:03.912,i,11,pressed,513,1
2023-11-08 00:16:04.128,i,11,released,526,1
2023-11-08 00:16:05.512,w,5,pressed,609,1
2023-11-08 00:16:05.612,w,5,released,615,2
2023-11-08 00:16:05.879,e,12,pressed,631,2
2023-11-08 00:16:06.028,e,12,released,640,2
2023-11-08 00:16:07.344,g,13,pressed,719,2
2023-11-08 00:16:07.445,g,13,released,725,2
2023-11-08 00:16:08.779,m,14,pressed,805,2
2023-11-08 00:16:09.045,m,14,released,821,2
2023-11-08 00:16:09.329,i,11,pressed,838,2
2023-11-08 00:16:09.528,i,11,released,850,3
2023-11-08 00:16:09.894,o,15,pressed,872,3
2023-11-08 00:16:10.095,o,15,released,884,3
2023-11-08 00:16:10.294,p,16,pressed,896,3
2023-11-08 00:16:10.528,p,16,released,910,3
2023-11-08 00:16:10.995,f,17,pressed,938,3
2023-11-08 00:16:11.180,f,17,released,949,3
2023-11-08 00:16:11.744,l,18,pressed,983,3
2023-11-08 00:16:11.944,l,18,released,995,3
2023-11-08 00:16:12.961,q,19,pressed,1056,3
2023-11-08 00:16:13.161,q,19,released,1068,3
2023-11-08 00:16:13.494,y,20,pressed,1088,3
2023-11-08 00:16:13.628,y,20,released,1096,3
2023-11-08 00:16:13.894,j,21,pressed,1112,3
2023-11-08 00:16:14.077,j,21,released,1123,3
2023-11-08 00:16:14.278,k,22,pressed,1135,3
2023-11-08 00:16:14.477,k,22,released,1147,3
2023-11-08 00:16:15.044,e,12,pressed,1181,3
2023-11-08 00:16:15.161,e,12,released,1188,4
2023-11-08 00:16:15.577,r,23,pressed,1213,4
2023-11-08 00:16:15.794,r,23,released,1226,4
2023-11-08 00:16:15.910,c,3,pressed,1233,4
2023-11-08 00:16:16.144,c,3,released,1247,5
2023-11-08 00:16:16.443,v,24,pressed,1265,5
2023-11-08 00:16:16.644,v,24,released,1277,5
2023-11-08 00:16:16.761,t,25,pressed,1284,5
2023-11-08 00:16:16.944,t,25,released,1295,5
2023-11-08 00:16:17.110,a,26,pressed,1305,5
2023-11-08 00:16:17.127,N/A,N/A,end,N/A,N/A
2023-11-08 00:16:25.942,N/A,N/A,start,N/A,N/A
2023-11-08 00:16:26.959,n,6,pressed,61,0
2023-11-08 00:16:27.176,n,6,released,74,1
2023-11-08 00:16:27.376,b,1,pressed,86,1
2023-11-08 00:16:27.576,b,1,released,98,1
2023-11-08 00:16:27.675,z,2,pressed,104,1
2023-11-08 00:16:27.892,z,2,released,117,1
2023-11-08 00:16:29.042,k,24,pressed,186,1
2023-11-08 00:16:29.109,k,24,released,190,2
2023-11-08 00:16:29.325,j,3,pressed,203,2
2023-11-08 00:16:29.477,j,3,released,212,2
2023-11-08 00:16:29.742,s,4,pressed,228,2
2023-11-08 00:16:29.909,s,4,released,238,2
2023-11-08 00:16:30.292,t,21,pressed,261,2
2023-11-08 00:16:30.325,y,5,pressed,263,3
2023-11-08 00:16:30.409,t,21,released,268,3
2023-11-08 00:16:30.442,y,5,released,270,3
2023-11-08 00:16:30.925,n,6,pressed,299,3
2023-11-08 00:16:31.158,n,6,released,313,3
2023-11-08 00:16:31.425,o,7,pressed,329,3
